mass_g,sphere_endurance_factor,prolate_ellipsoid_endurance_factor,cuboid_endurance_factor,flattened_ellipsoid_endurance_factor
1,999.999999999999,999.999999999999,999.999999999999,999.999999999999
2,999.999999999999,999.999999999999,999.999999999999,999.999999999999
3,999.999999999999,999.999999999999,999.999999999999,999.999999999999
4,999.999999999999,999.999999999999,999.999999999999,999.999999999999
5,999.999999999999,999.999999999999,999.999999999999,999.999999999999
6,999.999999999999,999.999999999999,999.999999999999,999.999999999999
7,999.999999999999,999.999999999999,999.999999999999,999.999999999999
8,999.999999999999,999.999999999999,999.999999999999,999.999999999999
9,999.999999999999,999.999999999999,999.999999999999,999.999999999999
10,999.999999999999,999.999999999999,999.999999999999,999.999999999999
11,999.999999999999,999.999999999999,999.999999999999,999.999999999999
12,999.999999999999,999.999999999999,999.999999999999,999.999999999999
13,999.999999999999,999.999999999999,999.999999999999,999.999999999999
14,999.999999999999,999.999999999999,999.999999999999,999.999999999999
15,999.999999999999,999.999999999999,999.999999999999,999.999999999999
16,999.999999999999,999.999999999999,999.999999999999,999.999999999999
17,999.999999999999,999.999999999999,999.999999999999,999.999999999999
18,999.999999999999,999.999999999999,999.999999999999,999.999999999999
19,999.999999999999,999.999999999999,999.999999999999,999.999999999999
20,999.999999999999,999.999999999999,999.999999999999,999.999999999999
21,999.999999999999,999.999999999999,999.999999999999,999.999999999999
22,999.999999999999,999.999999999999,999.999999999999,999.999999999999
23,999.999999999999,999.999999999999,999.999999999999,999.999999999999
24,999.999999999999,999.999999999999,999.999999999999,999.999999999999
25,999.999999999999,999.999999999999,999.999999999999,999.999999999999
26,999.999999999999,999.999999999999,999.999999999999,999.999999999999
27,999.999999999999,999.999999999999,999.999999999999,999.999999999999
28,999.999999999999,999.999999999999,999.999999999999,999.999999999999
29,999.999999999999,999.999999999999,999.999999999999,999.999999999999
30,999.999999999999,999.999999999999,999.999999999999,999.999999999999
31,999.999999999999,999.999999999999,999.999999999999,999.999999999999
32,999.999999999999,999.999999999999,999.999999999999,999.999999999999
33,999.999999999999,999.999999999999,999.999999999999,999.999999999999
34,999.999999999999,999.999999999999,999.999999999999,999.999999999999
